Technical Name,Description,What to Enter (also shown as help text in GUI),Update Frequency,Subheader,GUI Location
step1.keyword_boxes[],Search keyword groups - one keyword randomly selected from each box and combined into search query,"Enter search terms describing ideal leads. Put related terms in same box separated by commas. Leave boxes empty to skip.",Updated Every Run,Discovery Keywords,Step 1 Tab
step1.keyword_box_count,Number of keyword boxes to display in the interface,How many keyword boxes you want. More boxes = more specific searches but fewer combinations. Range: 1-50. Typical: 3-8,Updated Every Run,Discovery Keywords,Step 1 Tab
step4.provider_choice,AI provider selection - which AI service to use,Choose Claude (Anthropic) OpenAI (ChatGPT) or Gemini (Google). Claude recommended for accuracy.,Updated Every Run,AI Configuration,Step 2 Tab
step4.model_choice,Which of the 4 models to use for the selected provider,Choose Model 1 (cheapest/fastest) through Model 4 (smartest/slowest). Model 1-2 good for most runs.,Updated Every Run,AI Configuration,Step 2 Tab
step4.api_key,API key for Claude or OpenAI,Paste your API key from the AI provider's website. Get from console.anthropic.com or platform.openai.com,Updated Every Run,AI Configuration,Step 2 Tab
step4.gemini_api_key,API key for Google Gemini,If using Gemini paste that API key here. Get from aistudio.google.com,Updated Every Run,AI Configuration,Step 2 Tab
step4.credit_limit,Maximum spend limit in dollars for AI calls this run,Maximum amount willing to spend on AI. System stops if reached. Start with $5-10 for testing; $50+ for full runs.,Updated Every Run,AI Configuration,Step 2 Tab
step4.scoring_fields[].enabled,Whether this scoring field is active,Check to use this field; uncheck to skip it,Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].type,Field type - score gives a number; text gives a category,Choose 'score' for numeric rating or 'text' for category/label selection,Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].title,Short name shown in output CSV column header,Brief descriptive name like 'Relevance' or 'Company Size',Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].min,Minimum value for score-type fields,Lower bound of scoring range (e.g. 0),Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].max,Maximum value for score-type fields,Upper bound of scoring range (e.g. 10),Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].allow_unlisted,For text fields - can AI give answers not in options list,Check if AI can provide custom answers beyond your listed options,Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].allow_multiple,For text fields - can AI select multiple options,Check if AI can select more than one option (separated by semicolons),Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].prompt,Instructions telling AI exactly what to look for and how to score,Write clear instructions for AI about what criteria to evaluate,Updated Every Run,Scoring Fields,Step 2 Tab
step4.scoring_fields[].options,For text fields - list of categories AI can choose from,List options separated by semicolons (e.g. Small; Medium; Large),Updated Every Run,Scoring Fields,Step 2 Tab
step4.good_leads_domains,Comma-separated list of domains to scrape as good lead examples,Enter domains of ideal customer websites (e.g. company1.com; company2.com). Bot will scrape and summarize these as reference.,Updated Every Run,Good Leads Reference,Step 2 Tab
step4.good_leads_max_pages_per_site,Maximum pages to crawl per good lead website,How many pages to visit on each good lead site. Typical: 8-15.,Updated Every Run,Good Leads Reference,Step 2 Tab
step4.good_leads_max_depth,Maximum crawl depth for good lead websites,How many clicks deep from homepage. Typical: 2.,Updated Every Run,Good Leads Reference,Step 2 Tab
step4.good_leads_max_chars_per_page,Maximum text to extract from a single good lead page,Prevents huge pages from dominating. Typical: 30000-50000.,Updated Every Run,Good Leads Reference,Step 2 Tab
step4.good_leads_aggregate_char_cap,Maximum total text per good lead website across all pages,Total cap per good lead site. Typical: 120000.,Updated Every Run,Good Leads Reference,Step 2 Tab
step4.good_leads_summarization_prompt,AI prompt for summarizing good lead websites,Instructions for AI to analyze and summarize good lead websites before scoring. One API call for all.,Updated Every Run,Good Leads Reference,Step 2 Tab
step4.good_leads_max_summary_chars,Maximum characters for the combined good leads summary,Max chars for AI-generated summary of all good leads. Typical: 5000-10000.,Updated Every Run,Good Leads Reference,Step 2 Tab
step1.api_choice,Search API provider - Serper.dev or SerpAPI,Which search service to use. Both search Google. Serper is cheaper.,Updated for Complex Runs,Discovery Settings,Advanced Tab
step1.api_key,API key for the search service (Serper or SerpAPI),Your API key from serper.dev or serpapi.com,Updated for Complex Runs,Discovery Settings,Advanced Tab
step1.region,Geographic region code for search results,2-letter country code: 'us' for USA 'gb' for UK 'de' for Germany etc.,Updated for Complex Runs,Discovery Settings,Advanced Tab
step1.max_results,Maximum websites to get from each search query,How many results per search. Typical: 50-100. More = thorough but slower/costlier.,Updated for Complex Runs,Discovery Settings,Advanced Tab
step1.serper_combo_cap,Total limit on keyword combinations to search,Prevents runaway costs with many keyword boxes. Typical: 100-500.,Updated for Complex Runs,Discovery Settings,Advanced Tab
